ACTION BOOK_ID MEMBER_ID DATE
RESERVE 3 1232 2021-03-04
OUT 3 1232 2021-03-07
RETURN 3 1232 2021-04-01
OUT 7 1832 2021-04-01
OUT 12 6676 2021-04-01
RESERVE 23 9976 2021-05-06
OUT 4 2323 2021-05-07
OUT 9 4444 2021-05-08
DERESERVE 23 9976 2021-05-10
OUT 16 2393 2021-05-10
OUT 30 3892 2021-05-21
OUT 1 3267 2021-05-24
OUT 14 6789 2021-06-02
RESERVE 20 3333 2021-06-18
OUT 17 1976 2021-06-23
OUT 72 9983 2022-12-12
RETURN 72 9983 2022-12-12
OUT 72 2314 2022-12-13
RETURN 72 2314 2022-12-13
OUT 72 2314 2022-12-13
RETURN 72 2314 2022-12-13
OUT 45 2345 2022-12-13
OUT 44 2345 2022-12-13
OUT 43 2345 2022-12-13
RETURN 43 2345 2022-12-13
OUT 72 2134 2022-12-13
RETURN 72 2134 2022-12-13
OUT 72 2134 2022-12-13
RETURN 72 2134 2022-12-13
OUT 25 1212 2022-12-13
RETURN 25 1212 2022-12-13
OUT 25 1212 2022-12-13
